,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Zip Code,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations
92243,19957561,21,18256699,21,20113457,19,17665581,18,15602864,16,21653646,18,26285744,17,25535320,18,22459302,17,26349154,17,23679731,16
93534,32211150,17,35040515,15,32328529,13,30438937,14,30714897,13,29273014,12,28917587,12,38690039,16,39857898,17,37117311,17,36093423,16
94553,21271011,17,20247690,18,21547607,19,18435349,18,19566519,18,14458766,14,17852255,16,17447937,16,16839953,16,18211571,17,17189609,16
95240,16657381,17,15883445,16,19827447,16,20339781,14,22847890,17,19588032,12,27017874,14,26442485,16,25756294,15,27365276,16,26831968,16
95355,17732549,15,17003535,14,16362295,14,16071905,15,14541304,13,20089290,11,24444278,13,23450519,13,22605154,14,23864587,16,20807077,16
95603,17505876,14,18027214,12,19989245,13,19319372,13,19558401,13,10394001,11,19727749,14,20608127,15,19673208,15,21365531,16,21455178,16
95630,39374991,17,40897178,15,40278372,15,40610040,16,37865004,15,31373643,12,39158793,14,40791675,15,42555999,16,43667194,17,42850024,16
90250,32245051,13,34838408,13,36203926,14,36504776,14,38277332,15,29945977,11,41148994,14,42345969,16,51263009,16,51418625,16,53714204,15
90706,20284792,11,23096705,12,25480034,14,17798108,12,13684243,10,14945095,9,25801197,13,30759781,16,23929711,14,26696838,17,26886468,15
91786,27368794,17,26305716,15,23035927,17,24413407,16,22271396,14,19233753,14,24450748,16,24241433,16,23990757,16,21674428,15,21869719,15
92126,27007452,14,24865007,13,27107252,15,22206086,13,23663389,12,23709112,12,25103688,15,25362219,14,25572299,14,25264367,14,27229201,15
92626,26008681,13,24293550,12,24438991,12,30902030,14,25508314,13,23721816,12,18448199,10,28380485,15,31611789,16,31749376,16,29996485,15
92780,22405360,14,19486481,13,21527929,13,22168108,13,20421845,13,16542722,12,23950321,14,24258038,17,23798525,15,25364248,17,21204252,15
92806,34209390,16,30458660,16,30450390,16,30584110,15,31146381,15,25309823,13,30087894,17,40244021,19,37127659,17,41222610,18,32296692,15
93940,19248877,17,19525245,16,17882813,16,20039655,17,19802171,15,14721454,11,21524375,17,19339271,16,18790670,16,19595436,15,17610779,15
94577,35255144,16,28728757,13,28415526,13,29128200,17,28263947,13,16514553,7,24520933,11,27658028,14,28280800,18,35450122,18,33206667,15
94590,15640831,13,10709764,10,14870292,14,23893374,14,14501765,9,8354621,9,15320933,10,18019654,12,17454293,13,15979749,13,18898210,15
95008,20051209,14,21519543,14,32461960,17,36379821,16,35442338,17,31469130,13,33812951,16,34104237,17,28217591,16,26271163,15,27072831,15
95035,25001178,15,19822292,15,24608279,14,22975698,15,23682533,15,15340303,8,29102582,13,30950600,15,30745418,16,21033789,13,29337736,15
95076,16855793,17,18518855,17,20778109,18,21999254,18,18161362,17,10174827,12,16585443,17,21437370,18,22430636,19,18700980,18,16577227,15
95206,8895301,15,10333622,15,11469623,17,8129137,17,10142778,14,10397496,13,7785261,14,13411275,18,11904117,15,11665167,17,13179873,15
95350,17482805,17,15690727,16,14491677,17,13003682,16,12087474,13,12871179,12,19135851,15,19632983,17,19806136,17,17457294,17,17998869,15
95376,31030481,14,31836921,14,31089645,14,29172983,13,25532723,13,18641859,9,29386978,15,28727318,15,32425945,17,28715986,17,26882912,15
95670,19517663,16,18236056,15,13725258,14,20197224,15,21486863,15,17428901,13,15680050,13,21873216,16,22257529,16,22260495,17,19578327,15
95691,15268870,12,16231779,13,15475685,13,15766747,11,16260069,11,13531220,11,16463306,11,18076186,14,23116956,16,22818416,15,20318559,15
96007,9364556,15,8947605,14,10283271,15,9284999,14,8918799,15,6740984,10,8557859,12,9962768,14,11025013,16,10026902,14,10090125,15
92024,26909621,12,29195007,14,27317773,13,28105497,13,20569174,10,19140626,10,26573676,12,30608192,14,29107959,14,28220597,14,25514286,14
92201,21726091,16,21488167,15,20838663,15,15697509,14,11297398,12,21803567,14,23901700,14,24369499,14,23704514,16,21883872,15,21140948,14
92503,29408834,13,30372777,12,31249125,13,29198861,13,28279595,12,27867992,11,29583416,12,29675855,13,32454961,14,33645853,15,30799439,14
92507,21493458,13,22323519,13,24799129,13,21632385,13,26682159,14,18094346,10,30987414,16,34455154,17,31687646,17,32877828,18,28079032,14
92879,26167431,13,28521577,14,31790207,14,33217503,14,32587954,12,30002422,12,43889761,13,45088579,14,44048353,14,43414084,14,30284793,14
92882,33755149,15,31383468,13,30347897,15,25494465,12,26386370,13,20867957,12,27012810,14,20445356,14,21817823,15,20995674,14,18284711,14
93277,23735823,18,21712978,14,22067044,15,21765716,14,20706960,14,19384617,14,22963221,15,23792990,17,24401987,18,23334894,16,24096573,14
93306,19017050,17,17486142,14,15223138,15,17520242,17,19594045,19,16084815,14,19076777,15,23442268,16,21045608,19,20795738,15,18697149,14
93561,7666439,10,9791856,11,11796950,10,13624858,13,11058092,11,14334230,12,13075500,14,14275344,14,14563411,14,17245326,14,17697748,14
93612,30473462,16,28523798,15,32029406,17,30918413,16,29644175,14,20074927,9,24958204,14,25520165,16,25472849,16,25403304,16,27365674,14
94558,17408539,12,12639418,10,12044352,9,14766032,11,14194320,11,8990572,6,19402770,13,21348649,14,20316297,14,22378451,13,21861243,14
95322,18944596,12,17457287,10,16578053,12,17253408,13,16436416,10,16114895,12,18463215,13,20783716,14,19409326,14,20592258,14,20563096,14
95482,14465119,15,12950223,13,14641232,17,13712872,14,13324707,14,11098499,12,14295271,14,15586704,16,14659534,14,16375006,16,13339614,14
96150,6193340,9,6448848,10,6532026,13,7132292,13,10600265,15,6265551,13,10933606,13,7520553,14,8478137,14,6692246,13,6711642,14
90016,21238849,11,16689081,10,24326142,13,23125717,13,19439171,12,14921362,9,19482640,13,21196153,11,17671645,10,16346829,10,20203517,13
90631,35871989,16,39625785,16,37169239,14,34814557,12,33707851,12,34674188,14,39613765,13,41783292,14,36736334,13,42002079,13,42084476,13
90640,24911691,15,19420318,15,21443928,14,19498845,13,16984629,10,13818197,8,21047402,14,18739935,14,24184242,16,19668252,15,17047015,13
91331,21016432,11,29816985,12,34791608,13,33240157,13,31416061,11,31018209,12,31425210,11,35205444,14,35004948,12,38130038,13,42236500,13
91702,25325069,11,24367867,10,27465136,11,22767657,9,22457593,9,23676948,11,23700719,10,32450227,14,29516382,13,27080036,13,29780912,13
91766,17186634,13,17503630,14,15085591,12,13158668,12,12452632,11,11827164,10,12161983,10,16681593,12,18535655,14,21801576,13,14724351,13
91977,17174303,14,16911971,13,17845761,13,16904529,13,20123266,15,15349348,11,18145411,13,19416276,13,20155492,13,18510376,12,22159654,13
92083,29794317,13,28654343,13,28913496,13,28730958,14,24567586,14,26684678,12,14677535,9,28859464,12,30391574,12,22247373,14,19492648,13
92109,22849655,13,22660907,13,18674382,14,23781877,13,21853885,10,18686806,12,23585638,13,22925374,13,23861656,13,22727167,13,21200384,13
92110,28142573,12,25476860,12,24097795,11,24884854,12,17018206,8,20366887,11,23611384,12,23109633,12,23948566,13,22301320,13,22792487,13
92234,21089683,14,18324439,12,17736491,12,16245024,13,11889007,9,13587121,10,23154301,14,21904258,14,18954009,13,18872694,14,19243216,13
92410,18953410,13,15818865,11,16042043,13,19395990,13,13802711,11,14299565,12,15205973,13,17217757,16,15178162,15,14398314,14,13693369,13
92801,25785881,13,21975514,12,23174954,11,25381487,12,18131771,8,15912112,6,24722436,12,25450409,13,26272939,13,17434551,12,19583182,13
92867,18114250,11,19803153,11,18873206,11,16104596,10,12139706,8,16342449,10,13377056,8,19884066,11,22363289,12,19552935,12,21380557,13
93003,21582039,14,23946601,14,23654541,15,27262763,16,19860710,12,23295701,13,22424660,12,27069004,15,25570462,15,21386084,13,22362802,13
93422,15276778,13,14970694,12,16309973,14,13509263,11,15465198,13,16382594,12,15871502,12,16026197,12,15454744,12,15531801,13,16220193,13
93710,27887689,17,20529896,14,25053978,14,24055518,15,22882819,13,11263476,9,24840273,14,23945122,14,20098999,12,20901888,14,17969953,13
94063,22106363,15,22233576,13,27333347,15,24592991,12,24484565,11,26091470,8,23041924,10,31931164,15,32103119,14,30700025,13,32594357,13
94523,18442392,12,13291241,9,13116679,9,23935095,12,25615771,12,19426097,8,19279304,7,23309919,11,26119976,12,21717895,11,26276055,13
95122,25162019,12,22732822,11,27684012,13,26707762,15,28288548,14,15156572,9,27349461,13,27449934,14,23945678,13,25609115,14,22127706,13
95123,19557938,14,15794471,13,18406829,12,16759130,10,20660426,13,17866948,11,22238471,10,26766601,12,28488196,12,23982834,12,24684882,13
95129,23553199,14,17933230,13,25306736,15,23066934,13,24830170,13,18426127,11,20971692,12,22858213,15,18973019,14,20593913,14,19079009,13
95620,18154041,13,14959953,12,13090414,11,15900227,13,15264545,12,8889342,8,14067288,11,13024100,10,15872296,12,13365483,11,14511633,13
95667,12416015,11,10712451,10,13236240,12,15550086,13,11627602,6,8258188,7,10587557,8,16413416,13,16437281,12,15710757,13,14569201,13
95687,31133365,14,26765890,14,29546366,14,28008731,14,28248318,12,18319872,8,26432336,11,31538357,14,33955443,15,34838887,15,30141778,13
95688,12775298,10,12691896,11,12721147,11,10075739,9,12067928,11,12662669,11,13998064,12,14956013,14,13201574,13,13323724,13,13154034,13
95823,21618469,11,26849343,11,31187524,12,32907644,11,37228435,10,29754410,11,31705326,9,32382129,13,27636998,10,33798157,13,31162888,13
95965,7266161,11,6895770,9,6371727,10,6714999,11,5925627,8,4985556,9,7767266,12,6384639,11,6714099,11,4195203,12,6595518,13
95991,15704276,20,13628509,18,13649401,18,12593561,13,12514671,14,8981947,12,10872295,15,16454639,19,16018387,17,13914418,13,7261193,13
90003,21089145,10,19622156,10,18476939,9,21823403,12,19782525,11,17614355,9,16432023,8,22767426,11,20078604,10,20457689,10,22195762,12
90025,21725291,11,16273936,11,17813647,11,17259761,10,17400449,11,14489942,8,18020808,10,18394522,12,18739408,12,18381280,12,18492834,12
91107,16661384,11,16702294,12,16800534,11,20135195,12,11016026,10,9602212,7,13682983,10,15840714,12,17867854,11,24010147,11,24216290,12
91324,18767081,11,26569862,12,25284016,11,26165154,10,23904723,9,24151162,8,28996072,11,29995990,12,29766577,12,29208536,11,31172337,12
91352,18659482,13,19881271,10,16478122,12,17339797,11,11352751,8,18834252,9,24202442,12,21560659,10,20040744,11,19519021,11,21826152,12
91367,21685694,9,20517823,9,25221261,10,22965222,9,18525388,8,22339518,9,25838779,11,29233357,9,29977229,9,29656731,9,34118284,12
91505,33856849,13,30172024,10,24356827,8,31859632,12,30685735,12,30317210,11,14324173,9,15127320,12,16422721,11,13283505,10,34465465,12
91950,27103095,13,26941420,12,21406089,11,24014322,13,16605123,11,12124097,7,16108383,9,21446829,11,18002284,10,20236209,11,25272183,12
92008,19588011,10,18725257,9,18575371,9,18262453,9,13772352,8,13248448,8,12509486,8,17982195,11,18029735,11,17965596,11,16849246,12
92064,32491467,12,29072675,10,30316700,12,31856033,12,27935488,9,27492958,10,29203331,12,31385385,14,33965750,14,31196320,13,32040864,12
92071,28032648,11,28188248,11,26475203,11,28053925,12,24854284,9,27644330,13,28347434,12,32233198,13,28357055,12,28765034,12,32243373,12
92324,18233240,13,16474651,13,16260626,12,16106374,10,14728612,10,16918023,10,13847961,10,23372453,14,23749612,12,23970795,12,26738482,12
92346,13252977,7,15522883,8,19434733,8,9429287,8,9549149,8,8782231,6,12370600,9,16963147,11,16268692,10,20445362,11,20987935,12
92395,9853721,5,10812154,7,15584112,6,9865381,7,8913414,7,,,8641204,7,13132280,12,13215883,11,12892377,12,11880433,12
92408,23770884,9,25092218,9,26148922,10,28392392,10,31308439,12,18094879,9,31845221,11,36043593,12,40605956,14,38555533,14,35922351,12
92530,17000713,10,15283532,10,14844989,10,14923626,10,14122194,9,17036945,12,14267335,10,18084521,12,18695563,12,15236474,10,17702163,12
92562,22493778,10,25614279,10,25489715,10,24996318,10,27281271,11,18292058,9,29240557,12,30668219,12,31895492,12,35261779,13,31757519,12
92563,20324022,9,21490793,9,19422063,8,20417535,8,20321662,8,16348483,7,24812348,10,29393936,12,28162785,12,26425745,11,29130212,12
92630,27685858,11,27814904,11,26702824,11,27834996,12,25046922,11,25045038,10,22829285,10,26335397,11,30153931,13,27988361,13,26361026,12
92647,24542854,12,23666879,12,22898935,13,29287570,14,32618665,14,32182146,12,15983078,10,38844200,14,38038395,13,39190555,13,38294108,12
92691,26749652,12,29712975,13,26242972,12,26586896,12,19874418,9,23001775,11,26614628,12,29360990,13,26765872,13,27900501,13,27211240,12
92831,18177426,11,19404261,12,19935717,12,17942161,11,16394471,11,16629644,12,15896275,9,21187732,13,21082686,12,29470699,15,29128904,12
93010,22324526,13,26556312,13,24385616,12,25852106,13,21936049,10,20357006,10,25634244,12,25472724,12,23488528,12,24838680,11,25283892,12
93117,11886613,11,12058579,11,15361894,11,14655857,11,13019009,11,13190592,11,13584867,12,14142349,11,16862245,12,16542058,12,15872785,12
93210,9039097,12,8430478,11,12418735,13,12283545,11,11430289,8,6673941,9,10545758,11,14130286,12,13215704,12,14538335,14,11491933,12
93245,9227800,11,8539470,8,8779947,10,9042861,10,9194445,10,10795857,10,9517554,9,11742315,12,11422597,12,12383420,11,20950813,12
93247,4727277,10,5286258,9,8855876,11,7736421,9,8607810,13,6804536,7,4127962,7,8384919,10,4849283,8,7250315,9,7056784,12
93292,8601923,10,7031938,8,6962745,9,6329150,8,5075682,7,7733159,9,7048805,9,10709655,8,11713885,10,11167178,11,10619439,12
93550,17090788,13,19434008,11,18343062,11,21635074,13,16539777,9,10733888,8,10246811,8,24301557,12,23703129,12,28294389,15,23795985,12
93638,5900724,10,6527069,11,7065855,10,7321086,12,8508395,13,6491743,9,6564577,10,8528608,13,8111903,11,9262480,10,6882897,12
93657,6842733,10,6191681,7,8042524,9,5245447,5,7438815,7,6883371,7,9527153,9,9678965,11,12575438,11,10424190,11,11797053,12
93702,8283918,11,9160076,13,9224442,12,11376293,16,7914163,12,7420617,11,5287584,8,10181480,17,8747292,14,6954721,12,6206065,12
94520,19797515,13,14442521,11,15409878,12,15953468,11,15233514,12,6219336,5,24398137,10,35530030,13,35668354,13,34239160,13,32293691,12
94541,13686255,8,11062417,7,7169815,6,13771140,12,12442823,11,11228507,9,10879313,10,11787907,10,13569232,12,10925140,9,15211612,12
94568,26883710,12,26542869,12,23600296,11,32424101,12,26967077,13,17211109,8,24309277,11,27596621,12,29925702,13,23079771,11,25271756,12
94578,14148332,11,15607638,10,14710371,9,14797060,10,19182330,12,8242693,5,9821688,9,11583066,10,8857320,9,19673158,12,14817125,12
94901,22601459,16,15655076,16,20977651,16,18782862,13,16097561,11,6029437,5,13657846,11,15169167,11,14052634,9,10110440,8,15564205,12
94928,22434825,11,20554781,10,20586133,10,21281371,11,22671435,12,20864904,10,20769923,9,23920704,11,24691480,11,24100639,10,26697513,12
95242,18899721,12,13481523,11,18990265,11,18079883,12,15080429,11,10297825,8,17622506,12,22427430,13,21426489,13,16085598,8,17273646,12
95307,20018987,8,19012698,10,18241270,10,12266177,8,16547291,7,14422548,7,19196358,10,19374330,12,19712244,10,19861497,12,17662194,12
95336,15368388,13,18953162,12,21110257,14,19852189,12,21858110,14,16854348,11,22884941,14,25867557,15,26328009,15,25661432,16,23407731,12
95363,5318891,7,4878142,5,5176806,6,4836242,6,4566491,4,1565763,4,4342018,7,9629519,11,13124068,11,9858310,12,11240295,12
95403,11540521,9,9575796,8,11213503,9,11172379,9,13242991,10,12412510,6,15540749,9,21550681,14,19879497,13,15181415,11,15932875,12
95682,15537641,9,16474660,10,15143586,10,17515142,11,12332541,7,9682426,8,15364752,9,17598043,10,17489700,10,16561341,11,15174695,12
90047,10884968,6,12836786,8,14053883,8,10331544,7,11045449,9,13642861,7,15033760,7,19019718,10,17865215,9,19335614,10,19547747,11
90201,11327013,10,10515462,9,11547991,11,12834341,13,11868609,10,10298821,11,17612684,12,21903066,13,15718557,11,16020166,12,16859927,11
90280,17673699,14,21272156,13,19188907,14,17903500,12,20845393,13,18665157,9,17964809,8,26443759,13,24778288,13,23558395,13,22592867,11
90301,14292430,10,13210249,10,15769370,10,16570256,11,10382274,8,16166853,8,10884744,7,15813655,10,16869064,12,17480818,12,16007364,11
91335,23937485,7,20705344,7,22628007,8,25744529,11,20273861,8,21051963,9,17906930,6,19457081,8,22401359,10,22072882,11,22021277,11
91605,17934519,10,16217065,9,15968040,10,24040348,12,20335109,8,16385723,8,12872358,6,22819832,11,23798217,11,23130303,11,19687428,11
91733,35760795,13,31353964,13,24766802,13,23221873,11,23990313,13,15739285,10,17007507,11,19879151,11,23496072,12,19930999,12,21048393,11
91744,17326987,9,15490382,9,16091695,9,15328888,10,14806982,10,14984834,10,16557530,8,16867417,9,18003076,9,19020090,11,19657550,11
91773,24631181,9,23735299,9,20297611,9,19759160,8,23909406,8,23235555,8,21279793,7,27939756,11,27840016,11,24955105,9,30153669,11
92104,18655955,10,14664357,9,18021967,11,12678693,10,13310786,10,13604074,11,14272199,9,15655642,11,16443049,10,17991310,11,17154324,11
92227,7863136,10,7610036,10,6528293,9,6027999,10,4083541,9,8702130,10,7980964,10,8643118,12,5951547,11,6578345,12,9404053,11
92236,22603449,9,23215186,10,22878599,10,18218441,8,15742707,8,19687506,8,19558859,8,18277615,9,18682014,13,20133363,12,23149986,11
